"index","value","se"
1,1,1
2,-0.031870483901941,0.0582143882757524
3,0.4646297187091,0.0622831372249027
4,0.3,1
5,1,1
6,1.33174199758549,0.0809988414580981
7,1.0760519470925,0.0765578488439634
8,-0.0357340595369585,0.0806507556442834
9,0.3,1
10,1,1
11,0.580417487208914,0.0766930806534854
12,0.990587130317505,0.0760823363395142
13,0.093872170432524,0.0825441099279084
14,0.3,1
15,1,1
16,-0.0432568392375616,0.0506878858681798
17,0.997703682546533,0.0509380142445442
18,0.3,1
19,1,1
20,0,1
21,0,1
22,0.3,1
23,1,1
